PC: 8001ff70 | Instr: 007d5d93 | rs1_d: 6df56ff7 | rs2_d: 00000000 | alu_res: 00dbeadf | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: 6df56ff7 | mscratch: 00000000
PC: 8001ff74 | Instr: 00fdedb3 | rs1_d: 00dbeadf | rs2_d: ee000000 | alu_res: eedbeadf | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 00dbeadf | mscratch: 00000000
PC: 8001ff78 | Instr: 019d9793 | rs1_d: eedbeadf | rs2_d: fab7fbb6 | alu_res: be000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: eedbeadf | mscratch: 00000000
PC: 8001ff7c | Instr: 007dde13 | rs1_d: eedbeadf | rs2_d: 00000000 | alu_res: 01ddb7d5 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: eedbeadf | mscratch: 00000000
PC: 8001ff80 | Instr: 00fe6e33 | rs1_d: 01ddb7d5 | rs2_d: be000000 | alu_res: bfddb7d5 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01ddb7d5 | mscratch: 00000000
PC: 8001ff84 | Instr: 019e1793 | rs1_d: bfddb7d5 | rs2_d: fab7fbb6 | alu_res: aa000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: bfddb7d5 | mscratch: 00000000
PC: 8001ff88 | Instr: 007e5e93 | rs1_d: bfddb7d5 | rs2_d: 00000000 | alu_res: 017fbb6f | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: bfddb7d5 | mscratch: 00000000
PC: 8001ff8c | Instr: 00feeeb3 | rs1_d: 017fbb6f | rs2_d: aa000000 | alu_res: ab7fbb6f | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 017fbb6f | mscratch: 00000000
PC: 8001ff90 | Instr: 019e9793 | rs1_d: ab7fbb6f | rs2_d: fab7fbb6 | alu_res: de000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: ab7fbb6f | mscratch: 00000000
PC: 8001ff94 | Instr: 007edf13 | rs1_d: ab7fbb6f | rs2_d: 00000000 | alu_res: 0156ff76 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: ab7fbb6f | mscratch: 00000000
PC: 8001ff98 | Instr: 00ff6f33 | rs1_d: 0156ff76 | rs2_d: de000000 | alu_res: df56ff76 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 0156ff76 | mscratch: 00000000
PC: 8001ff9c | Instr: 019f1793 | rs1_d: df56ff76 | rs2_d: fab7fbb6 | alu_res: ec000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: df56ff76 | mscratch: 00000000
PC: 8001ffa0 | Instr: 007f5f93 | rs1_d: df56ff76 | rs2_d: 00000000 | alu_res: 01beadfe | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: df56ff76 | mscratch: 00000000
PC: 8001ffa4 | Instr: 00ffefb3 | rs1_d: 01beadfe | rs2_d: ec000000 | alu_res: edbeadfe | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01beadfe | mscratch: 00000000
PC: 8001ffa8 | Instr: feedc0b7 | rs1_d: eedbeadf | rs2_d: 00000000 | alu_res: feedc000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: fee | csr_wdata: eedbeadf | mscratch: 00000000
PC: 8001ffac | Instr: ead08093 | rs1_d: feedc000 | rs2_d: 00000000 | alu_res: feedbead | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: ead | csr_wdata: feedc000 | mscratch: 00000000
PC: 8001ffb0 | Instr: 01909793 | rs1_d: feedbead | rs2_d: fab7fbb6 | alu_res: 5a000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: feedbead | mscratch: 00000000
PC: 8001ffb4 | Instr: 0070d113 | rs1_d: feedbead | rs2_d: 00000000 | alu_res: 01fddb7d | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: feedbead | mscratch: 00000000
PC: 8001ffb8 | Instr: 00f16133 | rs1_d: 01fddb7d | rs2_d: 5a000000 | alu_res: 5bfddb7d | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01fddb7d | mscratch: 00000000
PC: 8001ffbc | Instr: 01911793 | rs1_d: 5bfddb7d | rs2_d: fab7fbb6 | alu_res: fa000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: 5bfddb7d | mscratch: 00000000
PC: 8001ffc0 | Instr: 00715193 | rs1_d: 5bfddb7d | rs2_d: 00000000 | alu_res: 00b7fbb6 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: 5bfddb7d | mscratch: 00000000
PC: 8001ffc4 | Instr: 00f1e1b3 | rs1_d: 00b7fbb6 | rs2_d: fa000000 | alu_res: fab7fbb6 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 00b7fbb6 | mscratch: 00000000
PC: 8001ffc8 | Instr: 01919793 | rs1_d: fab7fbb6 | rs2_d: fab7fbb6 | alu_res: 6c000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: fab7fbb6 | mscratch: 00000000
PC: 8001ffcc | Instr: 0071d213 | rs1_d: fab7fbb6 | rs2_d: 00000000 | alu_res: 01f56ff7 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: fab7fbb6 | mscratch: 00000000
PC: 8001ffd0 | Instr: 00f26233 | rs1_d: 01f56ff7 | rs2_d: 6c000000 | alu_res: 6df56ff7 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01f56ff7 | mscratch: 00000000
PC: 8001ffd4 | Instr: 01921793 | rs1_d: 6df56ff7 | rs2_d: fab7fbb6 | alu_res: ee000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: 6df56ff7 | mscratch: 00000000
PC: 8001ffd8 | Instr: 00725293 | rs1_d: 6df56ff7 | rs2_d: 00000000 | alu_res: 00dbeadf | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: 6df56ff7 | mscratch: 00000000
PC: 8001ffdc | Instr: 00f2e2b3 | rs1_d: 00dbeadf | rs2_d: ee000000 | alu_res: eedbeadf | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 00dbeadf | mscratch: 00000000
PC: 8001ffe0 | Instr: 01929793 | rs1_d: eedbeadf | rs2_d: fab7fbb6 | alu_res: be000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: eedbeadf | mscratch: 00000000
PC: 8001ffe4 | Instr: 0072d313 | rs1_d: eedbeadf | rs2_d: 00000000 | alu_res: 01ddb7d5 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: eedbeadf | mscratch: 00000000
PC: 8001ffe8 | Instr: 00f36333 | rs1_d: 01ddb7d5 | rs2_d: be000000 | alu_res: bfddb7d5 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01ddb7d5 | mscratch: 00000000
PC: 8001ffec | Instr: 01931793 | rs1_d: bfddb7d5 | rs2_d: fab7fbb6 | alu_res: aa000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: bfddb7d5 | mscratch: 00000000
PC: 8001fff0 | Instr: 00735393 | rs1_d: bfddb7d5 | rs2_d: 00000000 | alu_res: 017fbb6f | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: bfddb7d5 | mscratch: 00000000
PC: 8001fff4 | Instr: 00f3e3b3 | rs1_d: 017fbb6f | rs2_d: aa000000 | alu_res: ab7fbb6f | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 017fbb6f | mscratch: 00000000
PC: 8001fff8 | Instr: 01939793 | rs1_d: ab7fbb6f | rs2_d: fab7fbb6 | alu_res: de000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: ab7fbb6f | mscratch: 00000000
PC: 8001fffc | Instr: 0073d413 | rs1_d: ab7fbb6f | rs2_d: ab7fbb6f | alu_res: 0156ff76 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: ab7fbb6f | mscratch: 00000000
