PC: 80003770 | Instr: 00735393 | rs1_d: bfddb7d5 | rs2_d: 00000000 | alu_res: 017fbb6f | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: bfddb7d5 | mscratch: 00000000
PC: 80003774 | Instr: 00f3e3b3 | rs1_d: 017fbb6f | rs2_d: aa000000 | alu_res: ab7fbb6f | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 017fbb6f | mscratch: 00000000
PC: 80003778 | Instr: 01939793 | rs1_d: ab7fbb6f | rs2_d: fab7fbb6 | alu_res: de000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: ab7fbb6f | mscratch: 00000000
PC: 8000377c | Instr: 0073d413 | rs1_d: ab7fbb6f | rs2_d: ab7fbb6f | alu_res: 0156ff76 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: ab7fbb6f | mscratch: 00000000
PC: 80003780 | Instr: 00f46433 | rs1_d: 0156ff76 | rs2_d: de000000 | alu_res: df56ff76 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 0156ff76 | mscratch: 00000000
PC: 80003784 | Instr: 01941793 | rs1_d: df56ff76 | rs2_d: fab7fbb6 | alu_res: ec000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: df56ff76 | mscratch: 00000000
PC: 80003788 | Instr: 00745493 | rs1_d: df56ff76 | rs2_d: ab7fbb6f | alu_res: 01beadfe | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: df56ff76 | mscratch: 00000000
PC: 8000378c | Instr: 00f4e4b3 | rs1_d: 01beadfe | rs2_d: ec000000 | alu_res: edbeadfe | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01beadfe | mscratch: 00000000
PC: 80003790 | Instr: 01949793 | rs1_d: edbeadfe | rs2_d: fab7fbb6 | alu_res: fc000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: edbeadfe | mscratch: 00000000
PC: 80003794 | Instr: 0074d513 | rs1_d: edbeadfe | rs2_d: ab7fbb6f | alu_res: 01db7d5b | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: edbeadfe | mscratch: 00000000
PC: 80003798 | Instr: 00f56533 | rs1_d: 01db7d5b | rs2_d: fc000000 | alu_res: fddb7d5b | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01db7d5b | mscratch: 00000000
PC: 8000379c | Instr: 01951793 | rs1_d: fddb7d5b | rs2_d: fab7fbb6 | alu_res: b6000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: fddb7d5b | mscratch: 00000000
PC: 800037a0 | Instr: 00755593 | rs1_d: fddb7d5b | rs2_d: ab7fbb6f | alu_res: 01fbb6fa | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: fddb7d5b | mscratch: 00000000
PC: 800037a4 | Instr: 00f5e5b3 | rs1_d: 01fbb6fa | rs2_d: b6000000 | alu_res: b7fbb6fa | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01fbb6fa | mscratch: 00000000
PC: 800037a8 | Instr: 01959793 | rs1_d: b7fbb6fa | rs2_d: fab7fbb6 | alu_res: f4000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: b7fbb6fa | mscratch: 00000000
PC: 800037ac | Instr: 0075d613 | rs1_d: b7fbb6fa | rs2_d: ab7fbb6f | alu_res: 016ff76d | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: b7fbb6fa | mscratch: 00000000
PC: 800037b0 | Instr: 00f66633 | rs1_d: 016ff76d | rs2_d: f4000000 | alu_res: f56ff76d | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 016ff76d | mscratch: 00000000
PC: 800037b4 | Instr: 01961793 | rs1_d: f56ff76d | rs2_d: fab7fbb6 | alu_res: da000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: f56ff76d | mscratch: 00000000
PC: 800037b8 | Instr: 00765693 | rs1_d: f56ff76d | rs2_d: ab7fbb6f | alu_res: 01eadfee | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: f56ff76d | mscratch: 00000000
PC: 800037bc | Instr: 00f6e6b3 | rs1_d: 01eadfee | rs2_d: da000000 | alu_res: dbeadfee | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01eadfee | mscratch: 00000000
PC: 800037c0 | Instr: 01969793 | rs1_d: dbeadfee | rs2_d: fab7fbb6 | alu_res: dc000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: dbeadfee | mscratch: 00000000
PC: 800037c4 | Instr: 0076d713 | rs1_d: dbeadfee | rs2_d: ab7fbb6f | alu_res: 01b7d5bf | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: dbeadfee | mscratch: 00000000
PC: 800037c8 | Instr: 00f76733 | rs1_d: 01b7d5bf | rs2_d: dc000000 | alu_res: ddb7d5bf | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01b7d5bf | mscratch: 00000000
PC: 800037cc | Instr: fab807b7 | rs1_d: 7d5bfddb | rs2_d: b7fbb6fa | alu_res: fab80000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: fab | csr_wdata: 7d5bfddb | mscratch: 00000000
